414 ,四谷角筈線,新宿区霞ヶ丘町3,60710 ,"9,036 ","1,191 ",185 ,      －,      －,      －,      －,"3,711 ",255 ,"3,966 ",6.4 ,376 ,9.5 ,1.28 ,0.29 ,60650 ,"5,819 ",0.68 ,11.2 ,20.3 ,10月7日(木),曇,国土交通省,414 ,四谷角筈線,60710 ,
414 ,四谷角筈線,新宿区霞ヶ丘町1,60720 ,"3,548 ",856 ,186 ,      －,      －,      －,      －,"4,541 ",278 ,"4,819 ",5.8 ,512 ,10.6 ,1.30 ,0.17 ,60660 ,"6,676 ",0.72 ,      －,20.6 ,11月18日(木),晴,国土交通省,414 ,四谷角筈線,60720 ,
415 ,高輪麻布線,港区南麻布1-6,60820 ,"6,847 ","3,341 ","1,402 ","18,325 ","4,953 ",571 ,"1,575 ","23,278 ","2,146 ","25,424 ",8.4 ,"2,362 ",9.3 ,1.42 ,0.58 ,60760 ,"30,234 ",0.84 ,19.3 ,14.3 ,11月16日(火),晴,東京都,415 ,高輪麻布線,60820 ,
416 ,古川橋二子玉川線,港区南麻布4-13-1,60830 ,"4,207 ","2,447 ","1,039 ",      －,      －,      －,      －,"19,771 ","2,384 ","22,155 ",10.8 ,"2,096 ",9.5 ,1.40 ,1.20 ,60770 ,"24,779 ",0.89 ,13.6 ,8.7 ,9月8日(水),曇,国土交通省,416 ,古川橋二子玉川線,60830 ,
416 ,古川橋二子玉川線,目黒区鷹番3-24-16,60850 ,"3,579 ","1,750 ",644 ,      －,      －,      －,      －,"9,932 ",912 ,"10,844 ",8.4 ,955 ,8.8 ,1.32 ,1.05 ,60790 ,"10,633 ",1.02 ,14.4 ,9.5 ,11月30日(火),晴,国土交通省,416 ,古川橋二子玉川線,60850 ,
416 ,古川橋二子玉川線,目黒区八雲5-20,60860 ,"1,034 ","1,894 ",836 ,      －,      －,      －,      －,"12,548 ","1,291 ","13,839 ",9.3 ,"1,440 ",10.4 ,1.34 ,1.59 ,60800 ,"15,949 ",0.87 ,10.5 ,25.3 ,11月30日(火),晴,国土交通省,416 ,古川橋二子玉川線,60860 ,
418 ,北品川四谷線,品川区上大崎2-13-22,60870 ,"1,898 ",803 ,"1,111 ",      －,      －,      －,      －,"19,080 ","1,683 ","20,763 ",8.1 ,"1,852 ",8.9 ,1.39 ,0.70 ,60810 ,"22,702 ",0.91 ,7.2 ,21.4 ,9月16日(木),晴,国土交通省,418 ,北品川四谷線,60870 ,
418 ,北品川四谷線,品川区上大崎2-2-6,60880 ,432 ,472 ,"1,187 ",      －,      －,      －,      －,"10,535 ",965 ,"11,500 ",8.4 ,"1,114 ",9.7 ,1.34 ,0.62 ,60820 ,"15,982 ",0.72 ,44.8 ,29.8 ,9月16日(木),晴,国土交通省,418 ,北品川四谷線,60880 ,
418 ,北品川四谷線,港区白金6-23-4,60890 ,"2,188 ","1,631 ","1,196 ",      －,      －,      －,      －,"19,009 ","1,299 ","20,308 ",6.4 ,"1,912 ",9.4 ,1.37 ,0.89 ,60830 ,"21,031 ",0.97 ,21.4 ,17.2 ,11月30日(火),晴,国土交通省,418 ,北品川四谷線,60890 ,
418 ,北品川四谷線,渋谷区広尾5-5-2,60900 ,"9,221 ","1,884 ","1,179 ",      －,      －,      －,      －,"20,774 ","1,585 ","22,359 ",7.1 ,"2,052 ",9.2 ,1.40 ,1.03 ,60840 ,"25,666 ",0.87 ,10.3 ,15.4 ,9月8日(水),曇,国土交通省,418 ,北品川四谷線,60900 ,
418 ,北品川四谷線,渋谷区神宮前3-1-23,60920 ,"7,522 ","2,056 ",672 ,      －,      －,      －,      －,"12,868 ","1,065 ","13,933 ",7.6 ,"1,274 ",9.1 ,1.34 ,0.68 ,60860 ,"15,640 ",0.89 ,20.2 ,17.9 ,10月7日(木),曇,国土交通省,418 ,北品川四谷線,60920 ,
418 ,北品川四谷線,渋谷区千駄ヶ谷1-32,60930 ,"1,959 ","1,016 ",616 ,      －,      －,      －,      －,"8,950 ",627 ,"9,577 ",6.5 ,922 ,9.6 ,1.32 ,0.54 ,60870 ,"10,872 ",0.88 ,13.9 ,17.7 ,10月7日(木),曇,国土交通省,418 ,北品川四谷線,60930 ,
420 ,鮫洲大山線,品川区東大井5-13,60970 ,"9,538 ","2,036 ",860 ,"4,312 ","1,987 ",306 ,"1,095 ","6,299 ","1,401 ","7,700 ",18.2 ,695 ,9.0 ,1.30 ,0.78 ,60910 ,"7,583 ",1.02 ,11.5 ,12.3 ,11月18日(木),曇,東京都,420 ,鮫洲大山線,60970 ,
420 ,鮫洲大山線,目黒区目黒本町5-1-3,61000 ,"1,566 ","2,269 ",692 ,      －,      －,      －,      －,"6,756 ",761 ,"7,517 ",10.1 ,705 ,9.4 ,1.30 ,0.69 ,60931 ,"8,098 ",0.93 ,18.3 ,13.2 ,11月30日(火),晴,国土交通省,420 ,鮫洲大山線,61000 ,
420 ,鮫洲大山線,目黒区五本木2-1-10,61020 ,626 ,"1,378 ",310 ,      －,      －,      －,      －,"3,379 ",377 ,"3,756 ",10.0 ,398 ,10.6 ,1.26 ,0.52 ,60940 ,"4,425 ",0.85 ,13.3 ,14.5 ,11月30日(火),晴,国土交通省,420 ,鮫洲大山線,61020 ,
420 ,鮫洲大山線,渋谷区上原3-29,61060 ,"1,334 ","1,515 ",165 ,      －,      －,      －,      －,"1,041 ",69 ,"1,110 ",6.2 ,127 ,11.4 ,1.21 ,0.32 ,60980 ,"1,525 ",0.73 ,      －,8.1 ,11月30日(火),晴,国土交通省,420 ,鮫洲大山線,61060 ,
420 ,鮫洲大山線,中野区南台4-1-5,61070 ,"1,164 ","1,424 ",565 ,      －,      －,      －,      －,"8,006 ","1,032 ","9,038 ",11.4 ,791 ,8.8 ,1.32 ,0.87 ,60990 ,"11,042 ",0.82 ,13.6 ,12.4 ,9月29日(水),晴,国土交通省,420 ,鮫洲大山線,61070 ,
420 ,鮫洲大山線,中野区江古田1-1-7,61100 ,"1,364 ","1,447 ",730 ,      －,      －,      －,      －,"9,980 ","1,160 ","11,140 ",10.4 ,"1,048 ",9.4 ,1.33 ,1.40 ,61020 ,"12,149 ",0.92 ,17.1 ,14.5 ,10月27日(水),曇,国土交通省,420 ,鮫洲大山線,61100 ,
420 ,鮫洲大山線,中野区江原町3-1-21,61120 ,519 ,"1,377 ",542 ,      －,      －,      －,      －,"5,628 ",551 ,"6,179 ",8.9 ,584 ,9.5 ,1.29 ,0.75 ,61040 ,"6,290 ",0.98 ,10.3 ,9.0 ,10月27日(水),曇,国土交通省,420 ,鮫洲大山線,61120 ,
420 ,鮫洲大山線,豊島区要町3-58,61130 ,"3,333 ","2,358 ",370 ,      －,      －,      －,      －,"4,065 ",716 ,"4,781 ",15.0 ,436 ,9.1 ,1.28 ,0.50 ,61050 ,"5,675 ",0.84 ,9.6 ,11.8 ,10月28日(木),晴,国土交通省,420 ,鮫洲大山線,61130 ,
421 ,東品川下丸子線,品川区大井6-21-6,61170 ,"2,398 ","1,459 ",648 ,      －,      －,      －,      －,"6,978 ","1,143 ","8,121 ",14.1 ,765 ,9.4 ,1.31 ,1.28 ,61080 ,"8,564 ",0.95 ,14.6 ,15.6 ,11月30日(火),晴,国土交通省,421 ,東品川下丸子線,61170 ,
421 ,東品川下丸子線,大田区中央4-35,61180 ,"1,079 ","1,372 ",950 ,"5,976 ","2,904 ",476 ,892 ,"8,880 ","1,368 ","10,248 ",13.3 ,932 ,9.1 ,1.32 ,1.07 ,61090 ,"10,174 ",1.01 ,15.2 ,13.1 ,11月18日(木),曇,東京都,421 ,東品川下丸子線,61180 ,
423 ,渋谷経堂線,目黒区青葉台4-4-27,61200 ,"2,361 ","1,425 ",377 ,      －,      －,      －,      －,"5,260 ",754 ,"6,014 ",12.5 ,589 ,9.8 ,1.29 ,0.84 ,61110 ,"6,364 ",0.95 ,9.4 ,10.3 ,11月30日(火),晴,国土交通省,423 ,渋谷経堂線,61200 ,
423 ,渋谷経堂線,世田谷区池尻4-7,61210 ,"2,092 ","2,516 ",760 ,      －,      －,      －,      －,"8,224 ",875 ,"9,099 ",9.6 ,884 ,9.7 ,1.31 ,1.17 ,61120 ,"9,680 ",0.94 ,15.1 ,14.1 ,11月30日(火),晴,国土交通省,423 ,渋谷経堂線,61210 ,
426 ,上馬奥沢線,世田谷区上馬3-17-10,61240 ,"9,029 ","2,829 ",559 ,      －,      －,      －,      －,"6,512 ",516 ,"7,028 ",7.3 ,656 ,9.3 ,1.31 ,0.75 ,61150 ,"8,595 ",0.82 ,4.9 ,15.7 ,11月30日(火),晴,国土交通省,426 ,上馬奥沢線,61240 ,
426 ,上馬奥沢線,世田谷区奥沢5-25,61250 ,"4,027 ","1,530 ",306 ,      －,      －,      －,      －,"2,561 ",224 ,"2,785 ",8.0 ,277 ,9.9 ,1.24 ,0.61 ,61160 ,"3,522 ",0.79 ,11.1 ,10.0 ,11月30日(火),晴,国土交通省,426 ,上馬奥沢線,61250 ,
427 ,瀬田貫井線,世田谷区弦巻4-33,61260 ,"1,678 ","1,475 ",407 ,"2,374 ","1,044 ",105 ,111 ,"3,418 ",216 ,"3,634 ",5.9 ,358 ,9.9 ,1.24 ,0.49 ,61170 ,"3,516 ",1.03 ,12.1 ,12.7 ,11月17日(水),晴,東京都,427 ,瀬田貫井線,61260 ,
427 ,瀬田貫井線,杉並区下高井戸2-1,61270 ,"1,542 ",995 ,248 ,      －,      －,      －,      －,"3,334 ",332 ,"3,666 ",9.1 ,373 ,10.2 ,1.25 ,0.69 ,61190 ,"3,831 ",0.96 ,13.0 ,11.9 ,11月30日(火),晴,国土交通省,427 ,瀬田貫井線,61270 ,
427 ,瀬田貫井線,杉並区下井草1-15-11,61290 ,"1,713 ","1,770 ",384 ,      －,      －,      －,      －,"4,367 ",734 ,"5,101 ",14.4 ,526 ,10.3 ,1.27 ,0.72 ,61210 ,"5,335 ",0.96 ,13.8 ,19.1 ,11月17日(水),晴,国土交通省,427 ,瀬田貫井線,61290 ,
427 ,瀬田貫井線,中野区上鷺宮1-7,61300 ,"1,488 ","1,225 ",272 ,      －,      －,      －,      －,"3,110 ",625 ,"3,735 ",16.7 ,385 ,10.3 ,1.25 ,1.33 ,61220 ,"3,802 ",0.98 ,7.9 ,15.6 ,11月17日(水),晴,国土交通省,427 ,瀬田貫井線,61300 ,
428 ,高円寺砧浄水場線,杉並区大宮1-18,61340 ,261 ,834 ,161 ,853 ,560 ,11 ,129 ,"1,413 ",140 ,"1,553 ",9.0 ,150 ,9.7 ,1.21 ,0.23 ,61240 ,"1,648 ",0.94 ,36.1 ,23.3 ,12月14日(火),曇,東京都,428 ,高円寺砧浄水場線,61340 ,
428 ,高円寺砧浄水場線,世田谷区桜上水4-16-13,61350 ,259 ,114 ,23 ,      －,      －,      －,      －,63 ,9 ,72 ,12.5 ,14 ,19.4 ,1.37 ,0.60 ,61250 ,82 ,0.88 ,10.1 ,11.1 ,9月7日(火),曇,国土交通省,428 ,高円寺砧浄水場線,61350 ,
431 ,角筈和泉町線,渋谷区本町1-55-1,61430 ,"1,932 ","2,332 ",590 ,      －,      －,      －,      －,"6,469 ",716 ,"7,185 ",10.0 ,661 ,9.2 ,1.30 ,0.89 ,61330 ,"8,015 ",0.90 ,8.6 ,10.7 ,11月30日(火),晴,国土交通省,431 ,角筈和泉町線,61430 ,
431 ,角筈和泉町線,渋谷区笹塚2-30-1,61440 ,787 ,"1,169 ",393 ,      －,      －,      －,      －,"5,233 ",454 ,"5,687 ",8.0 ,543 ,9.5 ,1.28 ,0.79 ,61340 ,"5,685 ",1.00 ,14.4 ,16.6 ,9月7日(火),曇,国土交通省,431 ,角筈和泉町線,61440 ,
432 ,淀橋渋谷本町線,新宿区西新宿4-5-4,61460 ,"12,957 ","1,450 ",264 ,      －,      －,      －,      －,"10,697 ","1,202 ","11,899 ",10.1 ,"1,140 ",9.6 ,1.33 ,1.29 ,61360 ,"12,420 ",0.96 ,16.4 ,9.0 ,9月29日(水),晴,国土交通省,432 ,淀橋渋谷本町線,61460 ,
433 ,神楽坂高円寺線,新宿区原町3,61480 ,"2,536 ","1,924 ",789 ,"6,573 ","2,359 ",112 ,879 ,"8,932 ",991 ,"9,923 ",10.0 ,895 ,9.0 ,1.31 ,0.95 ,61380 ,"9,427 ",1.05 ,18.0 ,14.8 ,11月18日(木),晴,東京都,433 ,神楽坂高円寺線,61480 ,
433 ,神楽坂高円寺線,中野区中央1-13,61490 ,"2,044 ","2,138 ",481 ,      －,      －,      －,      －,"5,022 ",450 ,"5,472 ",8.2 ,535 ,9.8 ,1.29 ,0.72 ,61381 ,"5,996 ",0.91 ,18.0 ,11.9 ,11月17日(水),晴,国土交通省,433 ,神楽坂高円寺線,61490 ,
433 ,神楽坂高円寺線,杉並区高円寺南1-27-17,61500 ,565 ,752 ,485 ,      －,      －,      －,      －,"5,344 ",621 ,"5,965 ",10.4 ,589 ,9.9 ,1.29 ,0.78 ,61390 ,"6,036 ",0.99 ,20.7 ,8.6 ,11月17日(水),晴,国土交通省,433 ,神楽坂高円寺線,61500 ,
434 ,牛込小石川線,文京区後楽2-15,61510 ,"2,953 ","1,955 ",497 ,      －,      －,      －,      －,"11,439 ",959 ,"12,398 ",7.7 ,"1,220 ",9.8 ,1.31 ,0.81 ,61400 ,"9,098 ",1.36 ,9.0 ,14.9 ,10月13日(水),雨,国土交通省,434 ,牛込小石川線,61510 ,
435 ,音羽池袋線,文京区目白台2-15-12,61520 ,"2,119 ","1,368 ",839 ,      －,      －,      －,      －,"13,158 ","1,609 ","14,767 ",10.9 ,"1,342 ",9.1 ,1.35 ,0.78 ,61410 ,"16,755 ",0.88 ,13.2 ,19.3 ,10月21日(木),曇,国土交通省,435 ,音羽池袋線,61520 ,
436 ,小石川西巣鴨線,文京区大塚4-4,61530 ,"1,801 ","1,703 ",530 ,      －,      －,      －,      －,"6,683 ",513 ,"7,196 ",7.1 ,710 ,9.9 ,1.30 ,0.76 ,61420 ,"7,540 ",0.95 ,10.7 ,15.1 ,10月21日(木),曇,国土交通省,436 ,小石川西巣鴨線,61530 ,
437 ,秋葉原雑司ヶ谷線,台東区上野1-1-11,61540 ,"9,191 ","2,457 ",410 ,      －,      －,      －,      －,"11,413 ","1,120 ","12,533 ",8.9 ,"1,170 ",9.3 ,1.33 ,0.65 ,61430 ,"13,275 ",0.94 ,26.4 ,16.8 ,10月14日(木),晴,国土交通省,437 ,秋葉原雑司ヶ谷線,61540 ,
437 ,秋葉原雑司ヶ谷線,文京区根津1-1,61550 ,"4,180 ","2,164 ",495 ,      －,      －,      －,      －,"9,965 ","1,132 ","11,097 ",10.2 ,"1,036 ",9.3 ,1.32 ,1.17 ,61440 ,"11,510 ",0.96 ,18.5 ,13.1 ,10月7日(木),曇,国土交通省,437 ,秋葉原雑司ヶ谷線,61550 ,
437 ,秋葉原雑司ヶ谷線,文京区大塚5丁目18,61560 ,"3,318 ","1,906 ","1,277 ","11,507 ","5,968 ",247 ,"1,632 ","17,475 ","1,879 ","19,354 ",9.7 ,"1,706 ",8.8 ,1.37 ,1.15 ,61450 ,"20,610 ",0.94 ,16.7 ,14.5 ,10月6日(水),晴,東京都,437 ,秋葉原雑司ヶ谷線,61560 ,
439 ,椎名町上石神井線,練馬区旭丘1-3-9,61600 ,932 ,"2,160 ",600 ,      －,      －,      －,      －,"4,938 ",623 ,"5,561 ",11.2 ,530 ,9.5 ,1.29 ,0.63 ,61490 ,"6,189 ",0.90 ,10.1 ,20.6 ,10月27日(水),曇,国土交通省,439 ,椎名町上石神井線,61600 ,
439 ,椎名町上石神井線,中野区上鷺宮3-14-6,61610 ,752 ,"2,159 ",898 ,      －,      －,      －,      －,"8,572 ",820 ,"9,392 ",8.7 ,938 ,10.0 ,1.31 ,1.14 ,61500 ,"9,589 ",0.98 ,15.6 ,20.6 ,9月9日(木),曇,国土交通省,439 ,椎名町上石神井線,61610 ,
439 ,椎名町上石神井線,練馬区南田中1-20-13,61620 ,860 ,"1,668 ",608 ,      －,      －,      －,      －,"7,377 ",859 ,"8,236 ",10.4 ,785 ,9.5 ,1.30 ,0.98 ,61510 ,"8,091 ",1.02 ,21.6 ,16.3 ,9月9日(木),曇,国土交通省,439 ,椎名町上石神井線,61620 ,
439 ,椎名町上石神井線,練馬区下石神井4-28-12,61630 ,978 ,"1,825 ",207 ,      －,      －,      －,      －,"1,452 ",367 ,"1,819 ",20.2 ,182 ,10.0 ,1.20 ,0.34 ,61520 ,"2,049 ",0.89 ,14.8 ,10.2 ,11月17日(水),晴,国土交通省,439 ,椎名町上石神井線,61630 ,
440 ,落合井草線,中野区鷺宮6-31-14,61650 ,773 ,"1,294 ",702 ,      －,      －,      －,      －,"12,756 ","1,146 ","13,902 ",8.2 ,"2,148 ",15.5 ,1.33 ,0.91 ,61540 ,"12,627 ",1.10 ,19.1 ,19.8 ,9月9日(木),曇,国土交通省,440 ,落合井草線,61650 ,
441 ,池袋谷原線,豊島区要町3-30-5,61670 ,"1,869 ","1,952 ",583 ,      －,      －,      －,      －,"9,997 ","1,315 ","11,312 ",11.6 ,"1,068 ",9.4 ,1.33 ,0.77 ,61560 ,"12,543 ",0.90 ,7.5 ,13.7 ,10月28日(木),晴,国土交通省,441 ,池袋谷原線,61670 ,
441 ,池袋谷原線,練馬区小竹町2-7-21,61680 ,0 ,0 ,440 ,      －,      －,      －,      －,"8,626 ","1,214 ","9,840 ",12.3 ,931 ,9.5 ,1.32 ,0.60 ,61570 ,"11,073 ",0.89 ,26.4 ,5.5 ,10月28日(木),晴,国土交通省,441 ,池袋谷原線,61680 ,
441 ,池袋谷原線,練馬区高松4丁目27,61700 ,800 ,"1,741 ",365 ,"2,127 ","1,128 ",26 ,386 ,"3,255 ",412 ,"3,667 ",11.2 ,363 ,9.9 ,1.24 ,0.78 ,61590 ,"3,491 ",1.05 ,17.3 ,20.1 ,10月7日(木),曇,東京都,441 ,池袋谷原線,61700 ,
442 ,北町豊玉線,練馬区桜台5丁目43,61720 ,"1,191 ","2,424 ",216 ,606 ,498 ,0 ,57 ,"1,104 ",57 ,"1,161 ",4.9 ,201 ,17.3 ,1.21 ,0.58 ,61610 ,"1,514 ",0.77 ,15.4 ,18.3 ,10月7日(木),曇,東京都,442 ,北町豊玉線,61720 ,
443 ,南田中町旭町線,練馬区高野台1丁目8,61730 ,"1,980 ","2,083 ","1,322 ","16,389 ","7,620 ",233 ,"6,457 ","24,009 ","6,690 ","30,699 ",21.8 ,"2,793 ",9.1 ,1.42 ,1.42 ,61620 ,"31,918 ",0.96 ,19.1 ,24.3 ,10月7日(木),曇,東京都,443 ,南田中町旭町線,61730 ,
443 ,南田中町旭町線,練馬区高松5丁目7,61740 ,890 ,"1,536 ","1,344 ","15,890 ","8,250 ",279 ,"6,010 ","24,140 ","6,289 ","30,429 ",20.7 ,"2,732 ",9.0 ,1.41 ,1.28 ,61630 ,"29,828 ",1.02 ,17.8 ,16.5 ,10月7日(木),曇,東京都,443 ,南田中町旭町線,61740 ,
444 ,下石神井大泉線,練馬区上石神井3丁目5,61780 ,534 ,"1,265 ",367 ,"3,319 ","1,252 ",300 ,449 ,"4,571 ",749 ,"5,320 ",14.1 ,489 ,9.2 ,1.28 ,0.93 ,61670 ,"5,931 ",0.90 ,11.1 ,17.1 ,10月7日(木),曇,東京都,444 ,下石神井大泉線,61780 ,
445 ,常盤台赤羽線,板橋区小豆沢1-22-8,61790 ,"1,549 ","1,322 ",287 ,      －,      －,      －,      －,"4,220 ","1,238 ","5,458 ",22.7 ,532 ,9.7 ,1.29 ,0.95 ,61680 ,"6,268 ",0.87 ,8.8 ,18.1 ,10月27日(水),曇,国土交通省,445 ,常盤台赤羽線,61790 ,
446 ,長後赤塚線,板橋区蓮根1丁目12,61820 ,720 ,"2,615 ","1,500 ","11,372 ","5,887 ",269 ,"3,132 ","17,259 ","3,401 ","20,660 ",16.5 ,"1,934 ",9.4 ,1.38 ,1.04 ,61710 ,"22,029 ",0.94 ,30.2 ,10.1 ,10月7日(木),曇,東京都,446 ,長後赤塚線,61820 ,
447 ,赤羽西台線,板橋区舟渡1-12-12,61860 ,"1,983 ",822 ,519 ,      －,      －,      －,      －,"7,619 ","2,254 ","9,873 ",22.8 ,"1,644 ",16.7 ,1.31 ,0.94 ,61750 ,"9,475 ",1.04 ,16.5 ,9.2 ,11月16日(火),曇,国土交通省,447 ,赤羽西台線,61860 ,
447 ,赤羽西台線,板橋区高島平7丁目1,61870 ,102 ,737 ,924 ,"7,458 ","4,044 ",93 ,"5,098 ","11,502 ","5,191 ","16,693 ",31.1 ,"1,544 ",9.2 ,1.36 ,0.71 ,61760 ,"18,765 ",0.89 ,20.2 ,27.9 ,10月7日(木),曇,東京都,447 ,赤羽西台線,61870 ,
449 ,新荒川堤防線,足立区千住曙町34,61890 ,0 ,500 ,533 ,      －,      －,      －,      －,"3,678 ",552 ,"4,230 ",13.0 ,416 ,9.8 ,1.26 ,0.48 ,61780 ,"4,169 ",1.01 ,25.7 ,25.6 ,9月16日(木),晴,国土交通省,449 ,新荒川堤防線,61890 ,
449 ,新荒川堤防線,江戸川区平井7,61910 ,408 ,672 ,491 ,      －,      －,      －,      －,"3,634 ",668 ,"4,302 ",15.5 ,476 ,11.1 ,1.26 ,0.79 ,61800 ,"4,446 ",0.97 ,28.6 ,31.7 ,9月14日(火),曇,国土交通省,449 ,新荒川堤防線,61910 ,
449 ,新荒川堤防線,墨田区八広6,61960 ,166 ,"1,711 ",696 ,      －,      －,      －,      －,"8,941 ","1,169 ","10,110 ",11.6 ,"1,028 ",10.2 ,1.32 ,1.33 ,61850 ,"10,717 ",0.94 ,19.6 ,12.0 ,9月14日(火),曇,国土交通省,449 ,新荒川堤防線,61960 ,
449 ,新荒川堤防線,江東区大島8-40,61970 ,"3,627 ","1,167 ",411 ,"5,083 ","2,073 ",412 ,644 ,"7,156 ","1,056 ","8,212 ",12.9 ,770 ,9.4 ,1.31 ,0.66 ,61880 ,"8,839 ",0.93 ,18.7 ,23.1 ,12月8日(水),雨,東京都,449 ,新荒川堤防線,61970 ,
449 ,新荒川堤防線,江戸川区平井7-6,61980 ,428 ,"1,320 ",340 ,      －,      －,      －,      －,"3,465 ","1,124 ","4,589 ",24.5 ,442 ,9.6 ,1.26 ,0.64 ,61860 ,"4,496 ",1.02 ,20.4 ,21.7 ,9月14日(火),曇,国土交通省,449 ,新荒川堤防線,61980 ,
450 ,新荒川葛西堤防線,葛飾区東四つ木1-6,62010 ,177 ,512 ,687 ,"4,732 ","3,041 ",82 ,"1,239 ","7,773 ","1,321 ","9,094 ",14.5 ,877 ,9.6 ,1.31 ,1.69 ,61900 ,"9,183 ",0.99 ,16.9 ,29.1 ,10月20日(水),晴,東京都,450 ,新荒川葛西堤防線,62010 ,
450 ,新荒川葛西堤防線,葛飾区新小岩1-5,62020 ,75 ,30 ,889 ,      －,      －,      －,      －,"10,924 ","1,191 ","12,115 ",9.8 ,"1,287 ",10.6 ,1.32 ,1.51 ,61910 ,"9,959 ",1.22 ,42.7 ,26.3 ,11月18日(木),曇,国土交通省,450 ,新荒川葛西堤防線,62020 ,
450 ,新荒川葛西堤防線,江戸川区中葛西6-3,62030 ,"1,583 ","3,044 ",645 ,"7,410 ","2,426 ",272 ,"1,752 ","9,836 ","2,024 ","11,860 ",17.1 ,"1,167 ",9.8 ,1.33 ,0.34 ,61920 ,"13,229 ",0.90 ,18.8 ,19.4 ,9月30日(木),晴,東京都,450 ,新荒川葛西堤防線,62030 ,
450 ,新荒川葛西堤防線,江戸川区東葛西3-13,62040 ,232 ,"1,066 ",596 ,"4,759 ","1,582 ",109 ,623 ,"6,341 ",732 ,"7,073 ",10.3 ,748 ,10.6 ,1.30 ,0.98 ,61930 ,"7,656 ",0.92 ,21.6 ,27.9 ,9月30日(木),晴,東京都,450 ,新荒川葛西堤防線,62040 ,
451 ,江戸川堤防線,葛飾区柴又5,62060 ,0 ,2 ,376 ,      －,      －,      －,      －,"6,804 ",828 ,"7,632 ",10.8 ,901 ,11.8 ,1.32 ,1.54 ,61940 ,"10,615 ",0.72 ,21.3 ,13.8 ,11月17日(水),晴,国土交通省,451 ,江戸川堤防線,62060 ,
451 ,江戸川堤防線,江戸川区篠崎町1-95,62070 ,135 ,196 ,447 ,"3,589 ","1,596 ",163 ,810 ,"5,185 ",973 ,"6,158 ",15.8 ,655 ,10.6 ,1.31 ,1.08 ,61950 ,"9,031 ",0.68 ,20.5 ,29.8 ,9月28日(火),晴,東京都,451 ,江戸川堤防線,62070 ,
452 ,神田白山線,文京区湯島3-9,62090 ,"4,649 ","1,687 ",588 ,      －,      －,      －,      －,"9,345 ","1,009 ","10,354 ",9.7 ,"1,062 ",10.3 ,1.33 ,0.52 ,61970 ,"12,429 ",0.83 ,15.4 ,14.3 ,10月14日(木),晴,国土交通省,452 ,神田白山線,62090 ,
452 ,神田白山線,文京区湯島3-47-8,62100 ,"9,091 ","2,097 ",685 ,      －,      －,      －,      －,"11,472 ","1,372 ","12,844 ",10.7 ,"1,188 ",9.2 ,1.34 ,0.77 ,61980 ,"15,094 ",0.85 ,8.9 ,14.0 ,10月14日(木),晴,国土交通省,452 ,神田白山線,62100 ,
452 ,神田白山線,文京区千駄木2-34-8,62120 ,"2,965 ","1,121 ",226 ,      －,      －,      －,      －,"3,591 ",261 ,"3,852 ",6.8 ,385 ,10.0 ,1.26 ,0.53 ,62000 ,"4,539 ",0.85 ,13.5 ,7.5 ,10月13日(水),雨,国土交通省,452 ,神田白山線,62120 ,
453 ,本郷亀戸線,文京区湯島3-41-12,62130 ,"14,705 ","2,123 ",866 ,      －,      －,      －,      －,"13,460 ","1,606 ","15,066 ",10.7 ,"1,374 ",9.1 ,1.35 ,0.73 ,62010 ,"17,798 ",0.85 ,13.8 ,11.3 ,10月14日(木),晴,国土交通省,453 ,本郷亀戸線,62130 ,
453 ,本郷亀戸線,台東区駒形2-1,62140 ,"5,300 ","2,907 ",905 ,      －,      －,      －,      －,"13,668 ","1,579 ","15,247 ",10.4 ,"1,986 ",13.0 ,1.34 ,1.25 ,62020 ,"15,257 ",1.00 ,12.7 ,20.0 ,10月6日(水),晴,国土交通省,453 ,本郷亀戸線,62140 ,
453 ,本郷亀戸線,墨田区業平5-15,62150 ,492 ,567 ,301 ,      －,      －,      －,      －,"8,341 ","1,351 ","9,692 ",13.9 ,"1,042 ",10.8 ,1.32 ,0.76 ,62030 ,"11,265 ",0.86 ,17.6 ,29.3 ,11月16日(火),曇,国土交通省,453 ,本郷亀戸線,62150 ,
455 ,本郷赤羽線,豊島区駒込3-3-15,62180 ,"9,901 ","2,119 ",780 ,      －,      －,      －,      －,"11,347 ","1,779 ","13,126 ",13.6 ,"1,222 ",9.3 ,1.33 ,0.86 ,62060 ,"13,279 ",0.99 ,16.2 ,13.5 ,10月26日(火),曇,国土交通省,455 ,本郷赤羽線,62180 ,
455 ,本郷赤羽線,北区上十条2丁目13,62210 ,"12,552 ","2,478 ",639 ,"3,375 ","1,599 ",138 ,590 ,"4,974 ",728 ,"5,702 ",12.8 ,535 ,9.4 ,1.30 ,0.61 ,62090 ,"7,156 ",0.80 ,8.9 ,10.5 ,10月6日(水),晴,東京都,455 ,本郷赤羽線,62210 ,
457 ,駒込宮地線,荒川区西日暮里4-22-1,62230 ,"5,050 ","3,308 ",940 ,      －,      －,      －,      －,"15,557 ","1,690 ","17,247 ",9.8 ,"1,734 ",10.1 ,1.34 ,0.80 ,62100 ,"15,493 ",1.11 ,11.8 ,7.5 ,9月16日(木),晴,国土交通省,457 ,駒込宮地線,62230 ,
