施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
ネッツタマグーセンター,東京都青梅市上町３７４,,株式会社東京フィナンシャルコンサルタンツ,東京都青梅市木野下２丁目２３４番地の１２,その他の食料・飲料販売業(電子申請（未区分）),,2023/5/15,,
エクラシア青梅新町,東京都青梅市新町１丁目１番地の１,,,,集団給食施設(社会福祉施設Ⅱ),050-6861-9177,2024/5/8,,
クリード青梅新町,東京都青梅市新町１丁目２０番地の５,クリード青梅新町,株式会社日本クリード,東京都中央区東日本橋３丁目６番１８号,集団給食施設(社会福祉施設Ⅰ),0428-33-1256,2024/3/7,,
シャトレーゼ青梅店,東京都青梅市新町１丁目２５番地の９,,有限会社Smile Maker,東京都あきる野市雨間６９８番地,乳類販売業(ショーケース売り),0428-31-7871,2001/6/1,042-558-2017,渡邊　成吾
ドラッグストアマツモトキヨシ青梅新町店,東京都青梅市新町１丁目２番地の４,,株式会社マツモトキヨシ,千葉県松戸市新松戸東9番地1,その他の食料・飲料販売業(包装),0428-78-0471,2021/6/14,047-344-5860,松本　貴志
ミニストップ　青梅今寺店,東京都青梅市新町１丁目４１番地の１４,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),0428-32-5471,2021/6/1,,
ミニストップ　青梅今寺店,東京都青梅市新町１丁目４１番地の１４,,,,食肉販売業（包装済みの食肉のみの販売）(一般),0428-32-5471,2021/6/1,,
ミニストップ　青梅今寺店,東京都青梅市新町１丁目４１番地の１４,,,,乳類販売業(ショーケース売り),0428-32-5471,2021/6/1,,
平岡牛乳店,東京都青梅市新町１丁目４５番地の１８,,,,乳類販売業(専業),0428-31-5820,2021/6/1,,
かすみの里　カフェ・どんぐら,東京都青梅市新町１丁目８番地の１,,社会福祉法人　南風会,東京都青梅市新町１丁目８番地の２,調味料製造・加工業,0428-30-7055,2021/10/26,0428-31-4800,指田　修
社会福祉法人南風会　かすみの里,東京都青梅市新町１丁目８番地の１,,社会福祉法人南風会,東京都青梅市新町１丁目８番地の２,集団給食施設(社会福祉施設Ⅱ),0428-30-7055,2021/10/26,0428-31-4800,指田　修
ヤクルト青梅センター,東京都青梅市新町2-17-1,,東京ヤクルト販売株式会社,東京都台東区台東２丁目１９番９号,その他の食料・飲料販売業(店舗),0428328240,2021/8/23,,
セブンイレブン　青梅新町２丁目店,東京都青梅市新町２丁目１番地の８,,,,コンビニエンスストア,0428-31-0755,2021/6/3,,
新町保育園,東京都青梅市新町２丁目２１番地の９,,社会福祉法人　新町保育会,東京都青梅市新町２丁目２１番地の９,集団給食施設(児童福祉施設Ⅱ),0428-31-5302,2021/10/6,0428-31-5302,?野　好男
まるが水産,東京都青梅市新町２丁目２８番地の１９,かすみ直売センター,株式会社ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,東京都中央区新川１丁目１０番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2022/1/4,,
西東京農協かすみ直売センター,東京都青梅市新町２丁目２８番地の１９,,西東京農業協同組合,東京都青梅市野上町２丁目２１番地の５,野菜果物販売業(自動車以外),0428-31-1115,2021/12/2,0428-22-2175,松永　重徳
ＪＡ西東京　かすみ直売センター,東京都青梅市新町２丁目２８番地の１９,,,,その他の食料・飲料販売業(包装),0428-31-1115,2024/4/4,,
青梅大学いも学部,東京都青梅市新町２丁目２８番地の１９,JA西東京かすみ直売センター,,,その他の食料・飲料販売業(包装),,2024/7/26,,
生活協同組合コープみらい　コープ青梅新町店,東京都青梅市新町２丁目３番地の１,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,百貨店、総合スーパー,0428-32-5991,2021/11/16,,
生活協同組合パルシステム東京 青梅センター,東京都青梅市新町3-11-1,,生活協同組合パルシステム東京,東京都新宿区大久保２丁目２－６,食肉販売業（包装済みの食肉のみの販売）(一般),,2021/7/1,,
LUCKY-7　Halal　Food,東京都青梅市新町３丁目３番地の１３,沖ビル２０３,FAIN　TECK　JAPAN株式会社,東京都青梅市新町３丁目３番地の１３沖ビル２０３,その他の食料・飲料販売業(店舗),0428-78-2837,2022/3/30,0428-78-2837,池永珠磨ニガルスルターナ
LUCKY-7　Halal　Food,東京都青梅市新町３丁目３番地の１３,沖ビル２０３,FAIN　TECK　JAPAN株式会社,東京都青梅市新町３丁目３番地の１３沖ビル２０３,調味料製造・加工業,0428-78-2837,2022/3/30,0428-78-2837,池永珠磨ニガルスルターナ
ローソン青梅新町三丁目店,東京都青梅市新町３丁目３番地の６,,有限会社　マイサークル,東京都あきる野市二宮東２丁目６番地１４,コンビニエンスストア,,2021/11/26,042-558-2339,丸山　大介
ウエルシア　青梅新町店,東京都青梅市新町３丁目６９番地の４,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,乳類販売業(ショーケース売り),0428-30-7285,2001/6/1,03-5209-5672,水野　秀晴
ウエルシア青梅新町店,東京都青梅市新町３丁目６９番地の４,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,食肉販売業（包装済みの食肉のみの販売）(一般),0428-30-7285,2001/6/1,03-5209-5672,水野　秀晴
ウエルシア青梅新町店,東京都青梅市新町３丁目６９番地の４,,ウエルシア薬局株式会社,東京都千代田区外神田２丁目２番１５号,百貨店、総合スーパー,0428307285,2021/9/27,,
東京都立誠明学園,東京都青梅市新町３丁目７２番地の１号,,東京都,東京都新宿区西新宿２丁目８番１号,集団給食施設(児童福祉施設Ⅱ),0428-31-6146,2021/6/14,03-5321-1111,小池　百合子
有限会社マスヤ酒店,東京都青梅市新町４丁目１８番地の１２,,有限会社　マスヤ酒店,東京都青梅市新町４丁目１８番地の１２,乳類販売業(ショーケース売り),0428-31-5441,2001/6/1,0428-31-5441,田中　一義
ファミリーマート青梅新町四丁目店,東京都青梅市新町４丁目２番地の１,,株式会社ファミリーマート,東京都港区芝浦３丁目１番２１号,コンビニエンスストア,0428-30-7057,2023/6/2,03-6436-7600,細見　研介
サンドラッグ青梅新町店,東京都青梅市新町４丁目３０番地の２,,株式会社　サンドラッグ,東京都府中市若松町一丁目38番地の1,百貨店、総合スーパー,0428-32-9279,2022/2/17,,
ファミリーマート　八洋青梅新町五丁目店,東京都青梅市新町５丁目２８番地の７,,株式会社八洋,東京都新宿区東五軒町２番１８号,コンビニエンスストア,042-830-0821,2021/11/18,03-5579-8788,後藤　晃宏
大多摩農林,東京都青梅市新町５丁目３８番地の３,メゾネットFUJIZUKA・D,特定非営利活動法人大多摩農林,東京都青梅市新町５丁目３８番地の３メゾネットFUJIZUKA・D,その他の食料・飲料販売業(店舗),,2022/11/10,,岡部　敬一郎
ローソン青梅新町五丁目店,東京都青梅市新町５丁目３番地の７,,有限会社フォー・シー・エッチ,東京都青梅市勝沼三丁目８８番地５,コンビニエンスストア,0428-30-3039,2021/8/20,0428-23-1063,齋藤　均
株式会社安楽亭  青梅新町店,東京都青梅市新町５丁目５番地の１０,,株式会社  安楽亭,埼玉県さいたま市中央区上落合２丁目３番５号,その他の食料・飲料販売業(店舗),0428-32-5558,2021/11/25,048-859-1251,柳  先
ジョイフル青梅店,東京都青梅市新町６丁目１５番地の６,,株式会社ジョイフル北日本,大分県大分市三川新町1丁目1番45号,食肉販売業（包装済みの食肉のみの販売）(一般),0428-33-4881,2021/6/1,,
セブン－イレブン　青梅新町６丁目店,東京都青梅市新町６丁目１６番地の１,,,,コンビニエンスストア,0428-33-1221,2022/10/7,,
ベイシア　青梅インター店,東京都青梅市新町６丁目１６番地の１５,,株式会社　ベイシア,群馬県前橋市亀里町900番地,百貨店、総合スーパー,0428-30-0666,2021/9/27,027-897-1055,相木　孝仁
ダイソー　オザム青梅新町店,東京都青梅市新町６丁目１番地の１０,,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/26,,
東京都農林水産振興財団　青梅事業所,東京都青梅市新町６丁目７番地の１,,公益財団法人　東京都農林水産振興財団,東京都立川市富士見町３丁目８番１号,食肉販売業（包装済みの食肉のみの販売）(一般),0428-31-2171,2001/6/1,042-528-0505,産形　　稔
東京都農林水産振興財団　青梅事業所,東京都青梅市新町６丁目７番地の１,,公益財団法人　東京都農林水産振興財団,東京都立川市富士見町３丁目８番１号,乳類販売業(ショーケース売り),0428-31-2171,2001/6/1,042-528-0505,産形　　稔
スターバックスコーヒーカインズホーム青梅店,東京都青梅市新町６丁目９番地の４,,スターバックスコーヒージャパン株式会社,東京都品川区上大崎2-25-2,その他の食料・飲料販売業(電子申請（未区分）),0428-30-3200,2021/7/9,,
カインズ青梅インター店,東京都青梅市新町６丁目９番地の４,,,,米穀類販売業,0428-30-1100,2021/11/15,,
KFC　カインズホーム　青梅インター店,東京都青梅市新町６丁目９番地の４,,日本ケンタッキー・フライド・チキン株式会社,神奈川県横浜市西区みなとみらい４丁目４番５号,その他の食料・飲料販売業(電子申請（未区分）),0428-30-1203,2021/11/29,,
セブン-イレブン青梅新町店,東京都青梅市新町７丁目３番地の１８,,有限会社　合田商店,埼玉県飯能市美杉台６丁目１８番８号,コンビニエンスストア,0428(32)5535,2021/6/3,0428(32)5535,合田　秀敏
久兵衛屋　青梅新町店,東京都青梅市新町７丁目６３番地の１,,株式会社久兵衛屋,東京都港区港南２丁目１８番１号,その他の食料・飲料販売業(電子申請（未区分）),0428-33-9192,2021/11/26,,
セブンイレブン青梅日立前店,東京都青梅市新町７丁目６３番地の３,,有限会社ヨシコー,東京都青梅市新町７丁目６３番地の３,魚介類販売業（包装済みの魚介類のみの販売）(一般),0428-33-6405,2001/6/1,0428-33-6405,吉野　康一
セブンイレブン青梅日立前店,東京都青梅市新町７丁目６３番地の３,,有限会社ヨシコー,東京都青梅市新町７丁目６３番地の３,食肉販売業（包装済みの食肉のみの販売）(一般),0428-33-6405,2001/6/1,0428-33-6405,吉野　康一
セブンイレブン青梅日立前店,東京都青梅市新町７丁目６３番地の３,,有限会社ヨシコー,東京都青梅市新町７丁目６３番地の３,乳類販売業(ショーケース売り),0428-33-6405,2001/6/1,0428-33-6405,吉野　康一
ファミリーマート青梅新町八丁目店,東京都青梅市新町８丁目１０番地の１,,株式会社　ちとせ,東京都青梅市新町４丁目７番地の１０,コンビニエンスストア,,2021/11/16,0428-30-0552,越智 和雄
西東京物流センター,東京都青梅市新町８丁目１番地の１９,,名糖運輸株式会社,東京都新宿区若松町33番8号,乳類販売業(ショーケース売り),0428-30-1511,2001/6/1,03-5291-8110,林原　國雄
生活協同組合コープみらい　コープデリ　青梅センター,東京都青梅市新町８丁目１番地の２１,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,その他(電子申請（未区分）),0428-78-0931,2021/10/29,,
ジェイピードリームリンク株式会社,東京都青梅市新町８丁目２５番地の１,ホワイトシャトルA１０１,ジェイピードリームリンク株式会社,東京都青梅市今井２丁目１０４７番地の７,いわゆる健康食品の製造・加工業,050-3568-1193,2021/7/16,0428-31-3549,海野　和豊
生活クラブ生活協同組合 青梅センター,東京都青梅市新町８丁目２５番地の４,,生活クラブ生活協同組合,東京都世田谷区宮坂３丁目１３番１３号,魚介類販売業（包装済みの魚介類のみの販売）(一般),0428-33-3151,2001/6/1,03-5490-8314,和田　安希代
生活クラブ生活協同組合 青梅センター,東京都青梅市新町８丁目２５番地の４,,生活クラブ生活協同組合,東京都世田谷区宮坂３丁目１３番１３号,食肉販売業（包装済みの食肉のみの販売）(一般),0428-33-3151,2001/6/1,03-5490-8314,和田　安希代
