"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"医療法人社団天太会チームメディカルクリニック","東京都港区西新橋一丁目5番14号","内幸町1ビル1、2階","03-6206-1020","2016/3/7","内科、整形外科、脳神経外科","35.669402","139.753129"
"西新橋皮フ科","東京都港区西新橋一丁目8番10号",,"03-3503-2778","2023/9/22","皮膚科","35.668883","139.752081"
"医療法人社団アズマ会　佐野虎ノ門クリニック","東京都港区西新橋一丁目20番3号","虎ノ門法曹ビル1階","03-5157-0744","2007/10/1","内科、アレルギー科、呼吸器科","35.668040","139.752550"
"医療法人社団虎の門小澤クリニック","東京都港区西新橋一丁目20番3号","虎ノ門法曹ビル1階","03-3507-1101","2019/4/1","内科、内分泌内科、糖尿病内科","35.668040","139.752550"
"虎の門龍醫院","東京都港区西新橋一丁目20番9号","TSRビル地下1階～2階","03-3501-2286","2023/9/13","精神科、心療内科","35.667721","139.752396"
"虎ノ門せりざわ内科","東京都港区西新橋一丁目22番5号","モリヤビル2階","03-6257-3919","2019/3/1","内科、消化器内科","35.668289","139.751942"
"川島クリニック","東京都港区西新橋一丁目23番10号","南和ビル5階","03-3519-6651","2022/5/1","泌尿器科、内科","35.668013","139.751343"
"ヤマトホールディングス株式会社　医務室","東京都港区西新橋一丁目24番14号","西新橋1丁目ビル3階",,"2021/8/25","内科","35.668400","139.751393"
"医療法人社団藤美会　藤美クリニック","東京都港区西新橋一丁目24番16号","平和ビル6階","03-3501-3705","2019/4/8","内科、皮膚科","35.668717","139.751333"
"西新橋クリニック","東京都港区西新橋二丁目4番3号","プロス西新橋2階","03-3519-6677","2012/4/1","内科","35.667389","139.752495"
"みやた形成外科・皮ふクリニック","東京都港区西新橋二丁目6番2号","ザイマックス西新橋ビル5階","03-5510-3931","2021/9/24","美容皮膚科、皮膚科、美容外科、形成外科","35.667019","139.753449"
"ＤＭＨ新橋クリニック","東京都港区西新橋二丁目8番6号","住友不動産日比谷ビル4階","03-6704-8787","2024/2/5","内科、皮膚科","35.666156","139.753309"
"ロスカクリニック","東京都港区西新橋二丁目9番7号","クインズビル4D","03-6820-2195","2022/1/17","美容内科","35.666668","139.753159"
"虎ノ門東クリニック","東京都港区西新橋二丁目13番8号","陽成館2階",,"2023/8/26","心療内科","35.666580","139.751482"
"株式会社日立国際電気　診療所","東京都港区西新橋二丁目15番12号","日立愛宕別館6階","03-6734-9421","2016/10/3","内科","35.666696","139.751074"
"ムラタクリニック","東京都港区西新橋二丁目16番5号",,"03-5408-7511","2003/3/25","内科、消化器科、老年内科","35.666304","139.750563"
"パナソニック健康保険組合　産業保健センター　産業衛生科学センター","東京都港区西新橋三丁目8番3号","ランディック新橋ビル2階","03-5777-8912","2012/10/1","内科、整形外科","35.664413","139.75263"
"パナソニック健康保険組合　産業保健センター　健康管理センター","東京都港区西新橋三丁目8番3号","ランディック新橋ビル3階","03-5777-8911","2012/10/1","内科、消化器内科、循環器内科、呼吸器内科、糖尿病内科、肝臓内科、精神科","35.664413","139.75263"
"松井医院","東京都港区西新橋三丁目9番3号","内山ビル5階","03-3433-0603","2009/3/12","婦人科、内科","35.664181","139.7527"
"東京都情報サービス産業健康保険組合　西新橋保健センター","東京都港区西新橋三丁目12番8号",,"03-3459-8742","2004/3/1","内科、消化器科、婦人科","35.664331","139.751353"
"あおいクリニック","東京都港区西新橋三丁目19番12号","メディコ西新橋ビル4階","03-6453-0039","2020/3/1","糖尿病内科、内科","35.663460","139.751842"
"愛宕アイクリニック","東京都港区西新橋三丁目19番14号","東京建硝ビル3階","03-6435-9101","2014/3/1","眼科","35.663271","139.751752"
"三井倉庫ホールディングス株式会社診療所","東京都港区西新橋三丁目20番1号","御成門M-SQUARE 3階","03-6400-8112","2011/9/26","内科","35.663746","139.752214"
"ｅｃｌｉｎｉｃ　東京院","東京都港区浜松町一丁目6番15号","VORT浜松町1　2階","03-6824-5772","2023/4/1","美容外科、美容皮膚科","35.659052","139.757423"
"ＦＬＡＬＵクリニック東京院","東京都港区浜松町一丁目7番3号","第一ビル2階","03-6625-5525","2023/7/1","皮膚科、美容皮膚科","35.659214","139.757022"
"芝パレスクリニック","東京都港区浜松町一丁目9番10号","Daiwa A 浜松町ビル6階","03-5408-1590","2004/7/1","内科、皮膚科、アレルギー科、泌尿器科","35.659157","139.755984"
"医療法人社団天宣会　汐留健診クリニック","東京都港区浜松町一丁目17番10号",,"03-3432-8888","2003/3/24","内科、呼吸器科、消化器内科、循環器科、脳神経外科、泌尿器科、婦人科、放射線科","35.658160","139.756078"
"浜松町第一クリニック","東京都港区浜松町一丁目22番7号","鶴栄ビル5階","03-5777-3729","2005/1/12","内科、皮膚科、泌尿器科、心療内科","35.657219","139.757282"
"医療法人社団水聖会　メディカルスキャニング浜松町","東京都港区浜松町一丁目24番8号","オリックス浜松町ビル地下1階","03-6402-5381","2009/10/13","放射線科、内科","35.657292","139.756703"
"Ｃｕｒｅ　ｃｅｌｌ　ｃｌｉｎｉｃ","東京都港区浜松町一丁目27番9号","トラスト浜松町ビル4階","03-6403-1863","2022/3/2","美容外科、美容皮膚科","35.656905","139.755245"
"Ｌｉｖｅｌｙ　Ｃｌｉｎｉｃ","東京都港区浜松町一丁目27番9号","トラスト浜松町ビル5階","03-6809-1297","2023/6/1","美容皮膚科","35.656905","139.755245"
"医療法人社団さちはな　さちはなクリニック","東京都港区浜松町一丁目29番9号","FA小林ビル2階","03-6452-9300","2019/4/1","心療内科、精神科、皮膚科","35.656882","139.755725"
"文化放送診療所","東京都港区浜松町一丁目31番1号","文化放送メディアプラス11階","03-5860-3024","2006/7/19","内科","35.656930","139.757142"
"医療法人社団おおるり会美容外科・美容皮膚科青い鳥","東京都港区浜松町二丁目1番12号","VORT浜松町3　2階","03-6421-3202","2023/3/1","美容外科、美容皮膚科","35.655624","139.754829"
"大門メディカルクリニック","東京都港区浜松町二丁目1番16号","オーキッドプレイス5F","03-6435-6056","2014/7/3","内科、皮膚科、美容皮膚科","35.656074","139.754841"
"ともクリニック浜松町","東京都港区浜松町二丁目2番5号","浜松町営和ビル5階","03-5425-2233","2011/2/1","心療内科、精神科","35.655127","139.754926"
"浜松町大門レディースクリニック","東京都港区浜松町二丁目2番15号","浜松町ゼネラルビル8階","03-6403-4105","2018/10/1","産科、婦人科、内科","35.655330","139.754806"
"浜松町アイクリニック","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-3435-5712","2018/12/1","眼科","35.656067","139.755541"
"おかだスマイルクリニック","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-6809-1725","2018/11/25","胃腸内科、内科、外科","35.656067","139.755541"
"医療法人社団宮美会　東京美容皮膚科ＣＬＩＮＩＣ","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-5777-0038","2018/12/17","美容皮膚科","35.656067","139.755541"
"医療法人社団敬雅会かたつむりクリニック","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-3435-5709","2019/1/1","耳鼻いんこう科","35.656067","139.755541"
"ながさき内科医院","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-3435-5707","2018/12/27","内科","35.656067","139.755541"
"株式会社資生堂　浜松町診療所","東京都港区浜松町二丁目3番1号","9階","03-5402-4190","2019/6/12","内科","35.656067","139.755541"
"浜松町皮フ科クリニック","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー4階","03-3435-5711","2020/5/1","皮膚科","35.656067","139.755541"
"（職域）株式会社シノケングループ職域接種会場","東京都港区浜松町二丁目3番1号","日本生命浜松町クレアタワー20階","03-5777-0089","2021/6/25","内科","35.656067","139.755541"
"オリックスグループ東京診療所","東京都港区浜松町二丁目4番1号","世界貿易センタービル南館20階","03-3435-3002","2021/5/24","内科","35.656171","139.756444"
"高内科クリニック","東京都港区浜松町二丁目5番1号","石渡ビル2階","03-5733-8523","2001/6/19","内科、呼吸器科、循環器科、皮膚科、アレルギー科、外科、心療内科","35.654401","139.756171"
"芝メンタルクリニック","東京都港区浜松町二丁目11番16号","ユーワビル2階","03-6459-0806","2010/1/21","精神科、心療内科","35.653842","139.755056"
"ＴＥＴＳＵ形成・美容クリニック","東京都港区浜松町二丁目13番9号","G1ビル3階","03-5843-7743","2022/4/14","形成外科、美容外科、美容皮膚科","35.653219","139.755529"
"トヨタモビリティパーツ株式会社東京支社　健康相談室","東京都港区東麻布一丁目10番10号","2階","03-3585-2133","2020/5/1","内科","35.656663","139.744776"
"中西皮膚科クリニック","東京都港区東麻布一丁目16番6号","アトランテ東麻布1階","03-5573-4480","2005/4/1","皮膚科","35.656542","139.74271"
"八木医院","東京都港区東麻布一丁目18番9号","101","03-3583-0581","2003/7/7","内科、循環器科","35.655772","139.742439"
"麻布十番メンタルケアクリニック","東京都港区東麻布二丁目13番1号","ベルメゾン東麻布303号室","03-6809-3802","2023/2/1","精神科、心療内科","35.657422","139.739718"
"麻布十番ジャガークリニック","東京都港区東麻布三丁目7番13号","MD麻布1・2階","03-3583-2837","2023/9/1","内科、小児科、外科","35.656335","139.738079"
"医療法人社団Ｏａｓｉｓ　Ｍｅｄｉｃａｌ　東京新橋透析クリニック","東京都港区東新橋一丁目1番21号","今朝ビル7F ","03-6274-6320","2015/9/1","人工透析内科、腎臓内科、循環器内科","35.666251","139.760616"
"ラファエルクリニック","東京都港区東新橋一丁目2番10号","PAL汐留4階","03-6254-5335","2012/2/27","内科、美容内科、心療内科","35.664562","139.759288"
"パナソニックエレクトリックワークス東京汐留ビル","東京都港区東新橋一丁目5番1号","15階","03-6218-0061","2003/3/17","内科","35.665913","139.761919"
"富士通株式会社　本社健康管理室","東京都港区東新橋一丁目5番2号","汐留シティセンター23階","03-6252-2745","2003/5/6","内科","35.665497","139.760881"
"医療法人社団隆園会　汐留整形外科","東京都港区東新橋一丁目5番2号","汐留シティセンター3階","03-5537-5868","2019/4/1","整形外科、リハビリテーション科","35.665497","139.760881"
"全日本空輸株式会社　汐留医務室","東京都港区東新橋一丁目5番2号","汐留シティセンター39階","03-6735-5870","2014/3/7","内科","35.665497","139.760881"
"医療法人　ＲＣＴ会　リプロダクションクリニック東京","東京都港区東新橋一丁目5番2号","汐留シティセンター3階","03-6228-5352","2018/1/1","婦人科、泌尿器科","35.665497","139.760881"
"医療法人社団　六医会　汐留シティセンターセントラルクリニック","東京都港区東新橋一丁目5番2号","汐留シティセンター3階301号","03-5568-8700","2018/7/1","内科、神経内科、脳神経外科、皮膚科、心療内科、整形外科","35.665497","139.760881"
