"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"人形（プラスチック製）","にんぎょう（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ぬいぐるみ","ぬいぐるみ","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"縫い針","ぬいばり","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ネガフィルム","ねがふぃるむ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"猫砂（紙・木・おから・シリカゲル製・鉱物系等）","ねこすな（かみ・き・おから・しりかげるせい・こうぶつけいとう）","燃やすごみ","汚物は取り除いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ねじ","ねじ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"熱さまし用シート","ねつさましようしーと","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"粘着テープ","ねんちゃくてーぷ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"粘土（紙・油粘土）","ねんど（かみ・あぶらねんど）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"農薬類","のうやくるい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"のこぎり","のこぎり","粗大ごみ","一辺が30cm以下の場合は陶器・ガラス・金属ごみです。危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ノーカーボン紙","のーかーぼんし","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ノート","のーと","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"灰皿","はいざら","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"廃油（エンジンオイル等）","はいゆ（えんじんおいるとう）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"はがき","はがき","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"はがき（写真付き）","はがき（しゃしんつき）","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"白熱電球","はくねつでんきゅう","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"白熱灯","はくねつとう","陶器・ガラス・金属ごみ","購入時の筒や空ケース等に入れて出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"はさみ","はさみ","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"はしご","はしご","粗大ごみ","長さ1.8m以下のものに限ります。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"箸（金属製）","はし（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"箸（プラスチック製）","はし（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"箸（木製）","はし（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉢（素焼き・陶器製）","はち（すやき・とうきせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。
割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉢（プラスチック製）","はち（ぷらすちっくせい）","資源プラスチック","汚れを落としてからお出しください。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"発泡スチロール","はっぽうすちろーる","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"発電機","はつでんき","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"花火","はなび","燃やすごみ","使用済みのものに限ります。水で濡らしてから出してください。
未使用のものは区では収集しません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"歯ブラシ","はぶらし","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
電動歯ブラシは陶器・ガラス・金属ごみにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"歯磨きのチューブ","はみがきのちゅーぶ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"刃物","はもの","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"針金","はりがね","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"針（縫い針）","はり（ぬいばり）","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハロゲンヒーター
※暖房器具","はろげんひーたー
※だんぼうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハンガー（金属製）","はんがー（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハンガー（プラスチック製）","はんがー（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハンガー（木製）","はんがー（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハンドバッグ","はんどばっぐ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハードディスク","はーどでぃすく","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ハーモニカ","はーもにか","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"バイク","ばいく","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"バイクカバー","ばいくかばー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"バインダー（プラスチック製）","ばいんだー（ぷらすちっくせい）","燃やすごみ","金属部分が外せる場合は、資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"バケツ（金属製）","ばけつ（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
